注文日,商品名,付帯情報,価格
2021/1/18,虚構推理（１１） (月刊少年マガジンR),"[Kindle 版] 城平京, 片瀬茶柴  販売: 株式会社 講談社",462
2021/1/18,虚構推理（１２） (月刊少年マガジンR),"[Kindle 版] 城平京, 片瀬茶柴  販売: 株式会社 講談社",462
2021/1/18,虚構推理（１３） (月刊少年マガジンR),"[Kindle 版] 片瀬茶柴, 城平京  販売: 株式会社 講談社",462
2021/1/27,虚構推理（１４） (月刊少年マガジンR),"[Kindle 版] 片瀬茶柴, 城平京  販売: 株式会社 講談社",462
2021/1/27,結ばる焼け跡 1,[Kindle 版] 雨瀬シオリ  販売: Amazon Services International LLC,594
2021/1/27,結ばる焼け跡 2,[Kindle 版] 雨瀬シオリ  販売: Amazon Services International LLC,594
2021/1/27,夢で見たあの子のために(7) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,634
2021/1/31,Kindle Unlimited,販売: Amazon Services International LLC,980
2021/2/13,怪病医ラムネ（３） (シリウスコミックス),[Kindle 版] 阿呆トロ  販売: 株式会社 講談社,660
2021/2/13,怪病医ラムネ（４） (シリウスコミックス),[Kindle 版] 阿呆トロ  販売: 株式会社 講談社,715
2021/2/15,外道の歌(2) (ヤングキングコミックス),[Kindle 版] 渡邊ダイスケ  販売: Amazon Services International LLC,495
2021/2/15,外道の歌(3) (ヤングキングコミックス),[Kindle 版] 渡邊ダイスケ  販売: Amazon Services International LLC,495
2021/2/15,外道の歌(4) (ヤングキングコミックス),[Kindle 版] 渡邊ダイスケ  販売: Amazon Services International LLC,495
2021/2/15,外道の歌(5) (ヤングキングコミックス),[Kindle 版] 渡邊ダイスケ  販売: Amazon Services International LLC,495
2021/2/15,外道の歌(6) (ヤングキングコミックス),[Kindle 版] 渡邊ダイスケ  販売: Amazon Services International LLC,495
2021/2/15,鬼ゴロシ 1,[Kindle 版] 河部真道  販売: Amazon Services International LLC,495
2021/2/16,園田の歌(1) (ヤングキングコミックス),"[Kindle 版] 渡邊ダイスケ, 永田諒  販売: Amazon Services International LLC",495
2021/2/16,死役所　13巻: バンチコミックス,[Kindle 版] あずみきし  販売: Amazon Services International LLC,505
2021/2/16,死役所　15巻: バンチコミックス,[Kindle 版] あずみきし  販売: Amazon Services International LLC,525
2021/2/17,コンフィデンスマンJP　プリンセス編,"[Prime ビデオ] 田中亮, 古沢良太, 梶本圭 ...",500
2021/2/22,あなたがしてくれなくても ： 2 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,616
2021/2/22,あなたがしてくれなくても ： 3 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,616
2021/2/22,あなたがしてくれなくても ： 4 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,616
2021/2/22,あなたがしてくれなくても ： 5 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,616
2021/2/22,あなたがしてくれなくても ： 6 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,676
2021/2/22,ウチのモラハラ旦那＆義母、どーにかしてください！　闘う嫁のサバイバル術,"[Kindle 版] maron, 高田 真弓  販売: Amazon Services International LLC",1300
2021/2/22,ケーキの切れない非行少年たち　1巻: バンチコミックス,"[Kindle 版] 宮口幸治, 鈴木マサカズ, 鈴木 マサカズ  販売: Amazon Services International LLC",554
2021/2/22,さっちゃん、僕は。 1 (ジャンプコミックスDIGITAL),[Kindle 版] 朝賀庵  販売: 株式会社集英社,627
2021/2/22,当て屋の椿 17 (ヤングアニマルコミックス),[Kindle 版] 川下寛次  販売: 株式会社 白泉社,660
2021/2/24,ゴールデンゴールド（８） (モーニングコミックス),[Kindle 版] 堀尾省太  販売: 株式会社 講談社,682
2021/2/24,復讐の未亡人 ： 13 (アクションコミックス),[Kindle 版] 黒澤Ｒ  販売: Amazon Services International LLC,327
2021/3/4,ONE PIECE モノクロ版 98 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 1 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 10 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 11 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 11 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 12 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 13 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 14 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 15 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 2 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 3 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 4 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 5 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 6 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 7 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 8 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/8,呪術廻戦 9 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/9,AV男優はじめました　1巻: バンチコミックス,[Kindle 版] 蛙野エレファンテ  販売: Amazon Services International LLC,554
2021/3/9,AV男優はじめました　2巻【電子特典付き】: バンチコミックス,[Kindle 版] 蛙野エレファンテ  販売: Amazon Services International LLC,554
2021/3/9,意味がわかると怖い4コマ,[Kindle 版] 湖西晶  販売: Amazon Services International LLC,1035
2021/3/9,呪術廻戦 0 東京都立呪術高等専門学校 (ジャンプコミックスDIGITAL),[Kindle 版] 芥見下々  販売: 株式会社集英社,460
2021/3/10,***,***,550
2021/3/10,***,***,550
2021/3/10,***,***,550
2021/3/10,***,***,880
2021/3/10,匿名の彼女たち（６） (ヤングマガジンコミックス),[Kindle 版] 五十嵐健三  販売: 株式会社 講談社,660
2021/3/15,雪女と蟹を食う（８） (ヤングマガジンコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,660
2021/3/16,恋は妄毒（１） (コミックＤＡＹＳコミックス),[Kindle 版] 桃聖純矢  販売: 株式会社 講談社,682
2021/3/17,愛されるより○されたい 1 (ジャンプコミックスDIGITAL),[Kindle 版] ユーキあきら  販売: 株式会社集英社,418
2021/3/17,愛されるより○されたい 2 (ジャンプコミックスDIGITAL),[Kindle 版] ユーキあきら  販売: 株式会社集英社,418
2021/3/18,ギャングース（１０） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（１１） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（１２） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（１３） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（１５） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（１６） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（４） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（５） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（６） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（７） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（８） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/3/18,ギャングース（９） (モーニングコミックス),"[Kindle 版] 肥谷圭介, 鈴木大介  販売: 株式会社 講談社",660
2021/4/8,ONE PIECE カラー版 81 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,528
2021/4/8,ONE PIECE モノクロ版 81 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2021/4/8,ONE PIECE モノクロ版 82 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2021/5/10,ふたりソロキャンプ（３） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,660
2021/5/10,ふたりソロキャンプ（４） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,660
2021/5/10,ふたりソロキャンプ（５） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,671
2021/5/10,ふたりソロキャンプ（６） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,671
2021/5/10,ふたりソロキャンプ（７） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,671
2021/5/10,ふたりソロキャンプ（８） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,671
2021/5/10,ふたりソロキャンプ（９） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,682
2021/5/18,しいちゃん、あのね 1,[Kindle 版] 東裏友希  販売: Amazon Services International LLC,544
2021/5/18,しいちゃん、あのね 2,[Kindle 版] 東裏友希  販売: Amazon Services International LLC,544
2021/5/18,しいちゃん、あのね 3,[Kindle 版] 東裏友希  販売: Amazon Services International LLC,544
2021/5/23,鬼ゴロシ 2,[Kindle 版] 河部真道  販売: Amazon Services International LLC,644
2021/6/19,しいちゃん、あのね 4,[Kindle 版] 東裏友希  販売: Amazon Services International LLC,544
2021/6/20,しいちゃん、あのね 5,[Kindle 版] 東裏友希  販売: Amazon Services International LLC,544
2021/7/6,ONE PIECE モノクロ版 99 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2021/8/2,言えないことをしたのは誰？（２） (Ｋｉｓｓコミックス),[Kindle 版] さいきまこ  販売: 株式会社 講談社,550
2021/8/2,言えないことをしたのは誰？（３） (Ｋｉｓｓコミックス),[Kindle 版] さいきまこ  販売: 株式会社 講談社,550
2021/8/2,言えないことをしたのは誰？（４） (Ｋｉｓｓコミックス),[Kindle 版] さいきまこ  販売: 株式会社 講談社,550
2021/9/10,ハコヅメ～交番女子の逆襲～（１０） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,660
2021/9/11,ハコヅメ～交番女子の逆襲～（１１） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,660
2021/9/11,ハコヅメ～交番女子の逆襲～（１２） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,671
2021/9/23,ハコヅメ～交番女子の逆襲～（１５） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,671
2021/9/28,ハコヅメ～交番女子の逆襲～　別章　アンボックス (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,682
2021/9/28,ハコヅメ～交番女子の逆襲～（１６） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,682
2021/9/28,ハコヅメ～交番女子の逆襲～（１７） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,682
2021/9/28,ハコヅメ～交番女子の逆襲～（１８） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,682
2021/10/11,ONE PIECE モノクロ版 100 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2021/10/11,あなたがしてくれなくても ： 7 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,687
2021/11/24,ハコヅメ～交番女子の逆襲～（１９） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,682
2022/1/6,ONE PIECE モノクロ版 101 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2022/1/13,瓜を破る　２巻 (ラバココミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,594
2022/1/13,瓜を破る　３巻 (ラバココミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,594
2022/2/6,明日、私は誰かのカノジョ（２） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/2/6,明日、私は誰かのカノジョ（３） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/3/4,にぶんのいち夫婦 (8),"[Kindle 版] 黒沢明世, 夏川ゆきの  販売: Amazon Services International LLC",594
2022/5/1,ブラック・ラグーン（１２） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,693
2022/5/3,ONE PIECE モノクロ版 102 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2022/5/28,ハコヅメ～交番女子の逆襲～（２０） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,693
2022/5/29,ハコヅメ～交番女子の逆襲～（１４） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,671
2022/5/30,ハコヅメ～交番女子の逆襲～（１３） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,671
2022/5/30,ハコヅメ～交番女子の逆襲～（９） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,660
2022/6/6,少年のアビス 4 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/6,少年のアビス 5 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/6,少年のアビス 6 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/6,少年のアビス 7 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/6,少年のアビス 8 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/6,千年狐　五　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,673
2022/6/6,千年狐　七　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,673
2022/6/6,千年狐　六　～干宝「捜神記」より～ (MFコミックス　フラッパーシリーズ),[Kindle 版] 張 六郎  販売: Amazon Services International LLC,673
2022/6/7,AV男優はじめました　3巻【電子特典付き】: バンチコミックス,[Kindle 版] 蛙野エレファンテ  販売: Amazon Services International LLC,616
2022/6/7,AV男優はじめました　4巻【電子特典付き】 (バンチコミックス),[Kindle 版] 蛙野エレファンテ  販売: Amazon Services International LLC,616
2022/6/7,あなたがしてくれなくても ： 8 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,638
2022/6/7,ゴールデンゴールド（９） (モーニングコミックス),[Kindle 版] 堀尾省太  販売: 株式会社 講談社,682
2022/6/7,ここは今から倫理です。 6 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
2022/6/7,ふたりソロキャンプ（１２） (イブニングコミックス),[Kindle 版] 出端祐大  販売: 株式会社 講談社,682
2022/6/7,マザーパラサイト 4巻 (ゼノンコミックス),[Kindle 版] 佐藤洋寿  販売: Amazon Services International LLC,594
2022/6/7,マザーパラサイト 5巻 【特典イラスト付き】 (ゼノンコミックス),[Kindle 版] 佐藤洋寿  販売: Amazon Services International LLC,594
2022/6/7,瓜を破る　１巻 (ラバココミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,660
2022/6/7,瓜を破る　４巻 (ラバココミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,594
2022/6/7,少年のアビス 3 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/7,毒親サバイバル (LScomic),[Kindle 版] 菊池 真理子  販売: Amazon Services International LLC,1089
2022/6/7,夢で見たあの子のために(10) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,697
2022/6/7,夢で見たあの子のために(8) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,634
2022/6/7,夢で見たあの子のために(9) (角川コミックス・エース),[Kindle 版] 三部 けい  販売: Amazon Services International LLC,634
2022/6/8,教え子がAV女優、監督はボク。（６） (裏少年サンデーコミックス),[Kindle 版] 村西てんが  販売: 小学館,693
2022/6/13,アラサーちゃん　無修正１ (ＳＰＡ！コミックス),[Kindle 版] 峰 なゆか  販売: Amazon Services International LLC,99
2022/6/20,ジェノサイダー １巻 (ゼノンコミックス),"[Kindle 版] 宮崎摩耶, 秋吉宣宏  販売: Amazon Services International LLC",535
2022/6/20,ジェノサイダー ２巻 (ゼノンコミックス),"[Kindle 版] 宮崎摩耶, 秋吉宣宏  販売: Amazon Services International LLC",594
2022/6/20,ジェノサイダー ３巻 (ゼノンコミックス),"[Kindle 版] 宮崎摩耶, 秋吉宣宏  販売: Amazon Services International LLC",594
2022/6/20,ジェノサイダー ４巻 (ゼノンコミックス),"[Kindle 版] 宮崎摩耶, 秋吉宣宏  販売: Amazon Services International LLC",535
2022/6/20,ランド（１１） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,770
2022/6/20,鬼ゴロシ 3,[Kindle 版] 河部真道  販売: Amazon Services International LLC,567
2022/6/20,鬼ゴロシ 4,[Kindle 版] 河部真道  販売: Amazon Services International LLC,644
2022/6/20,鬼ゴロシ 5,[Kindle 版] 河部真道  販売: Amazon Services International LLC,644
2022/6/20,鬼ゴロシ 6,[Kindle 版] 河部真道  販売: Amazon Services International LLC,663
2022/6/20,少年のアビス 9 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/6/20,東京タラレバ娘　シーズン２（２） (Ｋｉｓｓコミックス),[Kindle 版] 東村アキコ  販売: 株式会社 講談社,550
2022/6/20,離婚まで100日のプリン　マンガでわかる 決別or再構築、どうしよう？ (LScomic),"[Kindle 版] きなこす, 伊東 有理子  販売: Amazon Services International LLC",1089
2022/6/28,ＳとＸ　～セラピスト霜鳥壱人の告白～（１） (イブニングコミックス),[Kindle 版] 多田基生  販売: 株式会社 講談社,682
2022/6/28,ＳとＸ　～セラピスト霜鳥壱人の告白～（２） (イブニングコミックス),[Kindle 版] 多田基生  販売: 株式会社 講談社,682
2022/6/28,アカイリンゴ（３） (コミックＤＡＹＳコミックス),[Kindle 版] ムラタコウジ  販売: 株式会社 講談社,693
2022/6/28,アカイリンゴ（４） (コミックＤＡＹＳコミックス),[Kindle 版] ムラタコウジ  販売: 株式会社 講談社,726
2022/6/28,こういうのがいい 2 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 双龍  販売: 株式会社集英社,627
2022/6/28,こういうのがいい 3 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 双龍  販売: 株式会社集英社,627
2022/6/28,ハコヅメ～交番女子の逆襲～（２１） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,693
2022/6/28,明日、私は誰かのカノジョ（１０） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,明日、私は誰かのカノジョ（４） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,明日、私は誰かのカノジョ（５） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,明日、私は誰かのカノジョ（６） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,明日、私は誰かのカノジョ（７） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,明日、私は誰かのカノジョ（８） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,明日、私は誰かのカノジョ（９） (サイコミ×裏少年サンデーコミックス),[Kindle 版] をのひなお  販売: 小学館,660
2022/6/28,有賀リエ連作集　工場夜景 (モーニングコミックス),[Kindle 版] 有賀リエ  販売: 株式会社 講談社,682
2022/6/29,ここは今から倫理です。 7 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
2022/7/4,夏目アラタの結婚（７） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,693
2022/7/4,夏目アラタの結婚（８） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,693
2022/7/25,adabana 徒花 （下） (ヤングジャンプコミックスDIGITAL),[Kindle 版] NON  販売: 株式会社集英社,752
2022/7/25,adabana 徒花 （中） (ヤングジャンプコミックスDIGITAL),[Kindle 版] NON  販売: 株式会社集英社,680
2022/7/25,夏目アラタの結婚（５） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,693
2022/7/25,夏目アラタの結婚（６） (ビッグコミックス),[Kindle 版] 乃木坂太郎  販売: 小学館,693
2022/8/4,瓜を破る　５巻 (ラバココミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,594
2022/8/9,サマータイムレンダ2026 未然事故物件 (ジャンプコミックスDIGITAL),[Kindle 版] 田中靖規  販売: 株式会社集英社,627
2022/8/9,軍靴のバルツァー（１２） (週刊少年マガジンコミックス),[Kindle 版] 中島三千恒  販売: 株式会社 講談社,660
2022/8/9,軍靴のバルツァー（１３） (週刊少年マガジンコミックス),[Kindle 版] 中島三千恒  販売: 株式会社 講談社,660
2022/8/9,軍靴のバルツァー（１４） (週刊少年マガジンコミックス),[Kindle 版] 中島三千恒  販売: 株式会社 講談社,660
2022/8/10,ONE PIECE モノクロ版 103 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2022/8/23,ＳとＸ　～セラピスト霜鳥壱人の告白～（３） (イブニングコミックス),[Kindle 版] 多田基生  販売: 株式会社 講談社,715
2022/8/23,喰う寝るふたり 住むふたり 続 2巻 (ゼノンコミックス),[Kindle 版] 日暮キノコ  販売: Amazon Services International LLC,614
2022/8/23,喰う寝るふたり 住むふたり 続 3巻【特典イラスト付き】 (ゼノンコミックス),[Kindle 版] 日暮キノコ  販売: Amazon Services International LLC,682
2022/9/21,その着せ替え人形は恋をする 2巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 3巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 4巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 5巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 6巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 7巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 8巻通常版 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/21,その着せ替え人形は恋をする 9巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/9/24,その着せ替え人形は恋をする 10巻 (デジタル版ヤングガンガンコミックス),[Kindle 版] 福田晋一  販売: 株式会社スクウェア・エニックス,660
2022/10/9,100話で心折れるスタートアップ 原作版,[Kindle 版] えい  販売: Amazon Services International LLC,320
2022/10/13,ダーウィン事変（２） (アフタヌーンコミックス),[Kindle 版] うめざわしゅん  販売: 株式会社 講談社,748
2022/10/13,ダーウィン事変（３） (アフタヌーンコミックス),[Kindle 版] うめざわしゅん  販売: 株式会社 講談社,748
2022/10/13,ダーウィン事変（４） (アフタヌーンコミックス),[Kindle 版] うめざわしゅん  販売: 株式会社 講談社,748
2022/10/13,間くんは選べない ： 2 (アクションコミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,330
2022/10/13,間くんは選べない ： 3 (アクションコミックス),[Kindle 版] 板倉梓  販売: Amazon Services International LLC,654
2022/10/24,ピーナッツバターサンドウィッチ（４）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
2022/10/26,あなたがしてくれなくても ： 9 (アクションコミックス),[Kindle 版] ハルノ晴  販売: Amazon Services International LLC,687
2022/10/26,少年のアビス 10 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 峰浪りょう  販売: 株式会社集英社,659
2022/10/26,逃げ上手の若君 4 (ジャンプコミックスDIGITAL),[Kindle 版] 松井優征  販売: 株式会社集英社,460
2022/10/26,逃げ上手の若君 5 (ジャンプコミックスDIGITAL),[Kindle 版] 松井優征  販売: 株式会社集英社,460
2022/10/26,逃げ上手の若君 6 (ジャンプコミックスDIGITAL),[Kindle 版] 松井優征  販売: 株式会社集英社,460
2022/10/26,逃げ上手の若君 7 (ジャンプコミックスDIGITAL),[Kindle 版] 松井優征  販売: 株式会社集英社,460
2022/10/27,AV男優はじめました　5巻【電子特典付き】 (バンチコミックス),[Kindle 版] 蛙野エレファンテ  販売: Amazon Services International LLC,660
2022/10/27,アカイリンゴ（５） (コミックＤＡＹＳコミックス),[Kindle 版] ムラタコウジ  販売: 株式会社 講談社,726
2022/10/27,ハコヅメ～交番女子の逆襲～（２２） (モーニングコミックス),[Kindle 版] 泰三子  販売: 株式会社 講談社,726
2022/10/27,ピーナッツバターサンドウィッチ（１０）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
2022/10/27,ピーナッツバターサンドウィッチ（１１）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
2022/10/27,ピーナッツバターサンドウィッチ（５）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
2022/10/27,ピーナッツバターサンドウィッチ（６）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
2022/10/27,ピーナッツバターサンドウィッチ（７）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
2022/10/27,ピーナッツバターサンドウィッチ（８）　～29歳OL4人の婚活奮闘記！,[Kindle 版] ミツコ  販売: 株式会社 講談社,462
