注文日,商品名,付帯情報,価格
2019/7/8,ハクバノ王子サマ（６） (ビッグコミックス),[Kindle 版] 朔ユキ蔵  販売: 小学館,594
2019/7/8,ハクバノ王子サマ（７） (ビッグコミックス),[Kindle 版] 朔ユキ蔵  販売: 小学館,594
2019/7/8,ハクバノ王子サマ（８） (ビッグコミックス),[Kindle 版] 朔ユキ蔵  販売: 小学館,594
2019/7/8,ハクバノ王子サマ（８） (ビッグコミックス),[Kindle 版] 朔ユキ蔵  販売: 小学館,594
2019/7/8,ハクバノ王子サマ（９） (ビッグコミックス),[Kindle 版] 朔ユキ蔵  販売: 小学館,594
2019/7/9,生者の行進 1 (ジャンプコミックスDIGITAL),[Kindle 版] みつちよ丸  販売: 株式会社集英社,527
2019/7/9,生者の行進 2 (ジャンプコミックスDIGITAL),[Kindle 版] みつちよ丸  販売: 株式会社集英社,616
2019/7/9,生者の行進 3 (ジャンプコミックスDIGITAL),[Kindle 版] みつちよ丸  販売: 株式会社集英社,616
2019/7/13,圧勝（８） (裏少年サンデーコミックス),[Kindle 版] 小虎  販売: 小学館,638
2019/7/14,圧勝（９） (裏少年サンデーコミックス),[Kindle 版] 小虎  販売: 小学館,638
2019/8/15,ゴールデンゴールド（６） (モーニングコミックス),[Kindle 版] 堀尾省太  販売: 株式会社 講談社,648
2019/8/15,王様ランキング　4巻,[Kindle 版] 十日草輔  販売: Amazon Services International LLC,670
2019/8/28,ROUTE END 5 (ジャンプコミックスDIGITAL),[Kindle 版] 中川海二  販売: 株式会社集英社,527
2019/8/28,ROUTE END 6 (ジャンプコミックスDIGITAL),[Kindle 版] 中川海二  販売: 株式会社集英社,616
2019/8/28,ROUTE END 7 (ジャンプコミックスDIGITAL),[Kindle 版] 中川海二  販売: 株式会社集英社,616
2019/8/28,ROUTE END 8 (ジャンプコミックスDIGITAL),[Kindle 版] 中川海二  販売: 株式会社集英社,647
2019/9/26,王様ランキング　5巻,[Kindle 版] 十日草輔  販売: Amazon Services International LLC,670
2019/10/4,不完全で不衛生でふしだら　2 (電撃コミックスNEXT),[Kindle 版] すのはら風香  販売: Amazon Services International LLC,644
2019/10/5,ここは今から倫理です。 1 (ヤングジャンプコミックスDIGITAL),[Kindle 版] 雨瀬シオリ  販売: 株式会社集英社,627
2019/10/13,ONE PIECE モノクロ版 93 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2019/10/14,ONE PIECE モノクロ版 92 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,460
2019/10/19,三億円事件奇譚 モンタージュ（１９） (ヤングマガジンコミックス),[Kindle 版] 渡辺潤  販売: 株式会社 講談社,660
2019/10/21,僕らはみんな河合荘(11) (ヤングキングコミックス),[Kindle 版] 宮原るり  販売: Amazon Services International LLC,495
2019/10/22,僕らはみんな河合荘(10) (ヤングキングコミックス),[Kindle 版] 宮原るり  販売: Amazon Services International LLC,495
2019/10/27,テセウスの船（７） (モーニングコミックス),[Kindle 版] 東元俊哉  販売: 株式会社 講談社,660
